subskill,intent,Rscript_call,nl_prompt
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","Please run grouped descriptives for pre_score, mid_score, and post_score by group2."
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","Give me the summary stats for the three time scores, split by treatment vs control (group2)."
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","I want basic descriptives (mean, sd, etc.) for pre/mid/post across group2."
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","Quickly profile pre_score, mid_score, post_score by group2; include robust stats if you can."
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2",Can you summarize the timepoint scores by condition? (group2)
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","Stats table for pre/mid/post by group2, nothing fancy."
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2",Need descriptives for the repeated scores; break out by group2.
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2",Group-wise descriptives for pre/mid/post. Use group2.
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2",Just the standard descriptive outputs for the three scores by group2.
descriptive-stats,Grouped descriptives for pre/mid/post scores by group2,"Rscript scripts/R/descriptive_stats.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score --group group2","Run the standard descriptive module on pre/mid/post, stratified by group2."
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2","Frequency tables for cat_var and cat_var2, split by group2."
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Show me counts and percents for cat_var and cat_var2 by treatment vs control.
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Can you do grouped frequencies for cat_var/cat_var2 using group2?
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",I just need the distribution of cat_var and cat_var2 by group2.
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Tabulate cat_var and cat_var2 across group2 with missingness noted.
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2","Give me the categorical breakdowns (cat_var, cat_var2) stratified by group2."
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Run frequencies on cat_var and cat_var2; make group2 the split.
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Please summarize those two categorical variables by group2.
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2","Counts and percentages for cat_var and cat_var2, grouped by group2."
frequencies,Frequencies of cat_var and cat_var2 by group2,"Rscript scripts/R/frequencies.R --csv assets/sample-data/golden_dataset.csv --vars cat_var,cat_var2 --group group2",Frequencies for cat_var and cat_var2 with group2 as the grouping factor.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Cross-tab group2 by cat_var2 and run chi-square; include residuals.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,"I need a contingency table: group2 vs cat_var2, with chi-square stats."
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Please test association between group2 and cat_var2 (chi-square + residuals).
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Crosstabs for group2 by cat_var2; show chi-square and standardized residuals.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Can you check if group2 is related to cat_var2 using a chi-square table?
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Run the group2 x cat_var2 cross-tab with residual diagnostics.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Tabulate group2 against cat_var2 and report chi-square and residuals.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Association table for group2 and cat_var2; I want residuals too.
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,"Chi-square crosstab: rows group2, columns cat_var2."
crosstabs,Cross-tab group2 by cat_var2 with chi-square and residuals,Rscript scripts/R/crosstabs.R --csv assets/sample-data/golden_dataset.csv --row group2 --col cat_var2 --chisq TRUE --residuals TRUE,Please do a cross-tab (group2 vs cat_var2) with chi-square and residuals.
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Partial correlation matrix for pre/mid/post and outcome_reg, controlling age and income."
correlations,Partial correlations among pre/mid/post/outcome_reg controlling age and income,"Rscript scripts/R/correlations.R --csv assets/sample-data/golden_dataset.csv --vars pre_score,mid_score,post_score,outcome_reg --controls age,income","Run partial correlations on the three time scores plus outcome_reg, covarying age/income."
